date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-08-22,臺股期貨,外資,67266,30584,36682,49223,47851,1372
2018-08-22,臺股期貨,投信,2558,27156,-24598,61,26,35
2018-08-22,臺股期貨,自營商,6701,11640,-4939,19082,16834,2248
2018-08-23,小型臺指,外資,2580,593,1987,42393,40782,1611
2018-08-23,小型臺指,投信,146,0,146,0,0,0
2018-08-23,小型臺指,自營商,16700,9756,6944,9460,6267,3193
2018-08-23,臺股期貨,外資,68263,29114,39149,59595,57141,2454
2018-08-23,臺股期貨,投信,2607,26841,-24234,372,10,362
2018-08-23,臺股期貨,自營商,8291,12141,-3850,16825,15773,1052
2018-08-24,小型臺指,外資,1361,500,861,40459,41553,-1094
2018-08-24,小型臺指,投信,146,0,146,0,0,0
2018-08-24,小型臺指,自營商,15228,11421,3807,9734,12803,-3069
2018-08-24,臺股期貨,外資,64313,32325,31988,54698,61867,-7169
2018-08-24,臺股期貨,投信,2648,26853,-24205,77,48,29
2018-08-24,臺股期貨,自營商,8571,11017,-2446,16991,15604,1387
2018-08-27,小型臺指,外資,3242,454,2788,38829,36898,1931
2018-08-27,小型臺指,投信,146,0,146,0,0,0
2018-08-27,小型臺指,自營商,15862,12036,3826,7929,7486,443
2018-08-27,臺股期貨,外資,65995,28961,37034,56493,51448,5045
2018-08-27,臺股期貨,投信,2682,26760,-24078,133,6,127
2018-08-27,臺股期貨,自營商,8078,11495,-3417,15361,16438,-1077
2018-08-28,小型臺指,外資,2850,417,2433,31257,28388,2869
2018-08-28,小型臺指,投信,146,0,146,0,0,0
2018-08-28,小型臺指,自營商,18017,12402,5615,6184,4323,1861
2018-08-28,臺股期貨,外資,69059,27746,41313,52460,48987,3473
2018-08-28,臺股期貨,投信,2747,26960,-24213,134,269,-135
2018-08-28,臺股期貨,自營商,8290,11667,-3377,13812,13790,22
2018-08-29,小型臺指,外資,4151,276,3875,38099,33530,4569
2018-08-29,小型臺指,投信,146,0,146,0,0,0
2018-08-29,小型臺指,自營商,21722,11647,10075,11375,7195,4180
2018-08-29,臺股期貨,外資,76624,28325,48299,58333,52151,6182
2018-08-29,臺股期貨,投信,2723,26938,-24215,33,35,-2
2018-08-29,臺股期貨,自營商,9339,13055,-3716,17887,18224,-337
2018-08-30,小型臺指,外資,5530,307,5223,49699,48323,1376
2018-08-30,小型臺指,投信,146,0,146,0,0,0
2018-08-30,小型臺指,自營商,23359,11811,11548,11206,9925,1281
2018-08-30,臺股期貨,外資,80560,26973,53587,70425,65144,5281
2018-08-30,臺股期貨,投信,2740,26886,-24146,140,71,69
2018-08-30,臺股期貨,自營商,10060,12944,-2884,18875,17995,880
2018-08-31,小型臺指,外資,2946,1610,1336,43686,47573,-3887
2018-08-31,小型臺指,投信,138,0,138,0,8,-8
2018-08-31,小型臺指,自營商,23428,11583,11845,7785,7752,33
2018-08-31,臺股期貨,外資,74391,27908,46483,62522,69626,-7104
2018-08-31,臺股期貨,投信,2689,27140,-24451,18,323,-305
2018-08-31,臺股期貨,自營商,10144,12035,-1891,15487,14428,1059
2018-09-03,小型臺指,外資,3164,2982,182,45311,46477,-1166
2018-09-03,小型臺指,投信,138,0,138,0,0,0
2018-09-03,小型臺指,自營商,21699,12914,8785,8197,11241,-3044
2018-09-03,臺股期貨,外資,73601,26679,46922,62845,62403,442
